"AÑO","NAME","CANTIDAD"
2000,Phylloscopus collybita                       ,98
2001,Phylloscopus bonelli                         ,3
2007,Locustella luscinioides                      ,63
2006,Emberiza hortulana                           ,1
1988,Phylloscopus trochilus                       ,1401
2000,Carduelis carduelis                          ,128
2008,Carduelis chloris                            ,117
1990,Picus viridis                                ,3
2004,Motacilla flava flavissima                   ,6
2009,Phylloscopus sibilatrix                      ,1
1999,Phoenicurus phoenicurus                      ,1
1985,Vanellus vanellus                            ,1
2013,Fringilla coelebs                            ,3
2013,Phylloscopus collybita                       ,40
1988,Oenanthe oenanthe                            ,18
1990,Ficedula hypoleuca                           ,320
1997,Regulus ignicapillus                         ,1
1986,Calidris minuta                              ,9
1992,Sturnus vulgaris                             ,58
2004,Himantopus himantopus                        ,5
2002,Streptopelia decaocto                        ,349
2002,Otus scops                                   ,3
1993,Recurvirostra avosetta                       ,2
1988,Larus fuscus                                 ,1
2003,Phylloscopus bonelli                         ,1
2007,Aegithalos caudatus                          ,61
1983,Ardeola ralloides                            ,7
1982,Bubulcus ibis                                ,1115
2009,Phylloscopus (collybita) tristis             ,2
2005,Saxicola rubetra                             ,6
2008,Parus caeruleus                              ,25
2009,Anthus spinoletta                            ,10
2008,Motacilla flava cinereocapilla               ,4
2004,Apus apus                                    ,1
2006,Motacilla flava thunbergi                    ,1
1990,Luscinia svecica svecica                     ,18
1995,Acrocephalus arundinaceus                    ,4
1990,Luscinia svecica cyanecula                   ,8
2004,Emberiza schoeniclus                         ,53
2001,Athene noctua                                ,4
1991,Larus (argentatus) cachinnans                ,61
2009,Carduelis carduelis                          ,140
2009,Tringa glareola                              ,19
2004,Sylvia melanocephala                         ,149
2004,Aquila chrysaetos                            ,3
1991,Hieraaetus fasciatus                         ,2
1983,Motacilla cinerea                            ,1
2001,Actitis hypoleucos                           ,2
2014,Streptopelia decaocto                        ,165
2016,Larus [argentatus] cachinnans michahellis    ,5
2012,Cettia cetti                                 ,20
2012,Panurus biarmicus                            ,7
2017,Apus apus                                    ,2
2006,Calidris ferruginea                          ,107
1988,Sylvia undata                                ,5
1993,Saxicola torquata rubicola                   ,1
1987,Anthus trivialis                             ,4
1996,Anthus pratensis                             ,79
1994,Jynx torquilla                               ,1
2003,Rallus aquaticus                             ,1
1993,Larus ridibundus                             ,19
2001,Bubulcus ibis                                ,37
2008,Emberiza schoeniclus                         ,370
2001,Troglodytes troglodytes                      ,1
2009,Sylvia cantillans                            ,30
1999,Charadrius alexandrinus                      ,2
2006,Erithacus rubecula                           ,152
2016,Anas platyrhynchos                           ,2
2006,Motacilla flava flava                        ,1
2019,Upupa epops                                  ,1
1989,Sylvia atricapilla                           ,182
1988,Remiz pendulinus                             ,15
1986,Passer montanus                              ,13
1990,Sylvia hortensis                             ,3
1992,Anthus campestris                            ,1
2008,Himantopus himantopus                        ,43
1996,Athene noctua                                ,8
1992,Buteo buteo                                  ,9
2005,Locustella luscinioides                      ,40
2000,Tringa glareola                              ,5
2016,Hirundo rustica                              ,1807
1988,Anilla destruida o perdida                   ,36
1991,Aquila chrysaetos                            ,1
1987,Anthus pratensis                             ,8
1999,Passer montanus                              ,79
2004,Carduelis chloris                            ,41
1989,Turdus philomelos                            ,119
1985,Tringa ochropus                              ,1
2008,Streptopelia roseogrisea                     ,3
1998,Falco tinnunculus                            ,2
2002,Columba livia                                ,31
1985,Bubulcus ibis                                ,105
2000,Oenanthe hispanica                           ,1
1983,Sylvia undata                                ,1
2017,Cettia cetti                                 ,33
2017,Emberiza schoeniclus                         ,9
2020,Phylloscopus bonelli                         ,1
1986,Hirundo rustica                              ,213
2000,Parus ater                                   ,13
1993,Saxicola torquata                            ,18
1987,Luscinia svecica                             ,2
2000,Alcedo atthis                                ,31
2008,Coturnix coturnix                            ,1
2009,Dendrocopos major                            ,4
1998,Pica pica                                    ,5
2009,Ardea cinerea                                ,13
2009,Chlidonias hybridus                          ,9
2007,Hippolais polyglotta                         ,22
